Site ID,Node ID,Distance from Node to Ground (mm),Grafana,Site Name,Date Deployed,Project,Node Type (from Devices (Phase 2)),dist. top of cantilever to bottom of cone (mm),"Latitude, Longitude",Nearest Intersection,Site Active,data quality,2021 Plan,Partner,Contact Name,sample frequency,GPS Elevation (m),GPS Lat/ Long,County,Bridge Key,MDOT Regional Dashboard
ARB001,,0,,Michigan Aero,6/3/2016,,,,"42.225072, -83.721289",Highland Dr/Varsity Dr,Retired,clean,,,,,,,Washtenaw,,
ARB002,097A,1562.10,https://dash.digitalwaterlab.org:3000/d/yE7jC5z7z/ellsworth-south-inlet?orgId=1,Ellsworth South Inlet,6/3/2016,Washtenaw Co.,Depth,88.9,"42.2298997, -83.7244034",E Ellsworth Rd/Varsity Dr,Yes,clean,,Washtenaw Co.,Harry Sheehan,10,248.949,"42.22988526, -83.72446662",Washtenaw,,
ARB003,094A,1905.0,https://dash.digitalwaterlab.org:3000/d/V5X9ipz7z/ellsworth-north-inlet?orgId=1,Ellsworth North Inlet ,6/3/2016,Washtenaw Co.,Depth,101.6,"42.232435, -83.723137",Phoenix Dr/Varsity Dr,Yes,clean,,Washtenaw Co.,Harry Sheehan,10,248.464,"42.23239007, -83.72300042",Washtenaw,,
ARB004,,0,,OHM Rain Garden,6/24/2016,,,,"42.369007, -83.378223",Stark Rd/Plymouth Rd,Retired,clean,,,,,,,Wayne,,
ARB005,,3,,Flagstaff Bank,6/24/2016,Washtenaw Co.,,,"42.240898,  -83.751205",,No,,,Washtenaw Co.,Harry Sheehan,,,,Washtenaw,,
ARB006,048A,2600,https://dash.digitalwaterlab.org:3000/d/ARFcpqKnz/hilton-garden-inn?orgId=1,Hilton Garden Inn,6/24/2016,Washtenaw Co.,Depth,,"42.2388209, -83.7504892",S Main St/Briarwood Cir,Yes,lots of spikes,,Washtenaw Co.,Harry Sheehan,,265.421,"42.23883004, -83.75045191",Washtenaw,,
ARB007,,0,,Herbarium,6/29/2016,,,,"42.236362, -83.727156",Brentwood Dr/Varsity Dr,Retired,clean,,Washtenaw Co.,Harry Sheehan,,,,Washtenaw,,
ARB008,,0,,Zingermann's Roadhouse,6/29/2016,,,,"42.232204, -83.729136",Phoenix Dr/Brentwood Dr,Retired,clean,,Washtenaw Co.,Harry Sheehan,,,,Washtenaw,,
ARB009,,2562.225,,Holiday Inn Flume,8/4/2016,Washtenaw Co.,,,"42.237482, -83.743087",Hilton Blvd/Briarwood Cir,No,data gaps,,Washtenaw Co.,Harry Sheehan,,225.098,"42.23745343, -83.74297643",Washtenaw,,
ARB010,,,,Ellsworth Valve,9/12/2016,Washtenaw Co.,,,"42.232308, -83.72194",E Ellsworth Rd/Stone School Rd,No,lots of spikes,,Washtenaw Co.,Harry Sheehan,,,,Washtenaw,,
