Site ID,Node ID,Distance from Node to Ground (mm),Grafana,Site Name,Date Deployed,Project,Node Type (from Devices (Phase 2)),dist. top of cantilever to bottom of cone (mm),"Latitude, Longitude",Nearest Intersection,Site Active,data quality,2021 Plan,Partner,Contact Name,sample frequency,GPS Elevation (m),GPS Lat/ Long,County,Bridge Key,MDOT Regional Dashboard,lat,lon
A2DWTP,,,http://ec2-3-142-80-107.us-east-2.compute.amazonaws.com:3000/d/df7okJR4k/smart-flush?orgId=1&from=now-30d&to=now&var-site_id=SCR1,Ann Arbor Drinking Water Treatment Plant,10/7/2021,BlueSky,,,"42.29782537, -83.76131141",,Retired,,,,,,,,Washtenaw,,,42.29782537,-83.76131141
ARB001,,0.0,,Michigan Aero,6/3/2016,,,,"42.225072, -83.721289",Highland Dr/Varsity Dr,Retired,clean,,,,,,,Washtenaw,,,42.225072,-83.721289
ARB002,097A,1562.1,https://dash.digitalwaterlab.org:3000/d/yE7jC5z7z/ellsworth-south-inlet?orgId=1,Ellsworth South Inlet,6/3/2016,Washtenaw Co.,Depth,88.9,"42.2298997, -83.7244034",E Ellsworth Rd/Varsity Dr,Yes,clean,,Washtenaw Co.,Harry Sheehan,10.0,248.949,"42.22988526, -83.72446662",Washtenaw,,,42.2298997,-83.7244034
ARB003,094A,1905.0,https://dash.digitalwaterlab.org:3000/d/V5X9ipz7z/ellsworth-north-inlet?orgId=1,Ellsworth North Inlet ,6/3/2016,Washtenaw Co.,Depth,101.6,"42.232435, -83.723137",Phoenix Dr/Varsity Dr,Yes,clean,,Washtenaw Co.,Harry Sheehan,10.0,248.464,"42.23239007, -83.72300042",Washtenaw,,,42.232435,-83.723137
ARB004,,0.0,,OHM Rain Garden,6/24/2016,,,,"42.369007, -83.378223",Stark Rd/Plymouth Rd,Retired,clean,,,,,,,Wayne,,,42.369007,-83.378223
ARB005,,3.0,,Flagstaff Bank,6/24/2016,Washtenaw Co.,,,"42.240898,  -83.751205",,No,,,Washtenaw Co.,Harry Sheehan,,,,Washtenaw,,,42.240898,-83.751205
ARB006,048A,2600.0,https://dash.digitalwaterlab.org:3000/d/ARFcpqKnz/hilton-garden-inn?orgId=1,Hilton Garden Inn,6/24/2016,Washtenaw Co.,Depth,,"42.2388209, -83.7504892",S Main St/Briarwood Cir,Yes,lots of spikes,,Washtenaw Co.,Harry Sheehan,,265.421,"42.23883004, -83.75045191",Washtenaw,,,42.2388209,-83.7504892
ARB007,,0.0,,Herbarium,6/29/2016,,,,"42.236362, -83.727156",Brentwood Dr/Varsity Dr,Retired,clean,,Washtenaw Co.,Harry Sheehan,,,,Washtenaw,,,42.236362,-83.727156
ARB008,,0.0,,Zingermann's Roadhouse,6/29/2016,,,,"42.232204, -83.729136",Phoenix Dr/Brentwood Dr,Retired,clean,,Washtenaw Co.,Harry Sheehan,,,,Washtenaw,,,42.232204,-83.729136
ARB009,,2562.225,,Holiday Inn Flume,8/4/2016,Washtenaw Co.,,,"42.237482, -83.743087",Hilton Blvd/Briarwood Cir,No,data gaps,,Washtenaw Co.,Harry Sheehan,,225.098,"42.23745343, -83.74297643",Washtenaw,,,42.237482,-83.743087
ARB010,,,,Ellsworth Valve,9/12/2016,Washtenaw Co.,,,"42.232308, -83.72194",E Ellsworth Rd/Stone School Rd,No,lots of spikes,,Washtenaw Co.,Harry Sheehan,,,,Washtenaw,,,42.232308,-83.72194
ARB011,,2286.0,,Kapnick Insurance Group,11/13/2016,Washtenaw Co.,,,"42.2372062, -83.7471857",S Main St/Briarwood Cir,No,lots of spikes,,Washtenaw Co.,Harry Sheehan,,229.199,"42.23719439, -83.74720440",Washtenaw,,,42.2372062,-83.7471857
ARB012,074A,6858.0,https://dash.digitalwaterlab.org:3000/d/WLIuHfBMk/north-territorial?orgId=1,North Territorial,11/17/2016,HRWC,Depth,0.0,"42.3871931, -83.9112202",North Territorial Rd/Huron River Dr,Yes,obstructed,1.0,HRWC,"Ric Lawson, Andrea Paine, Rebecca Esselman",,260.360,"42.3871931, -83.9112202",Washtenaw,,,42.3871931,-83.9112202
ARB013,125A,3048.0,https://dash.digitalwaterlab.org:3000/d/wyzVsoknk/kensington-rd?orgId=1,Kensington Rd,11/17/2016,HRWC,Depth,,"42.513582, -83.690148",Kensington Rd/Grand River Ave,Yes,,2.0,HRWC,"Ric Lawson, Andrea Paine, Rebecca Esselman",10.0,268.199,"42.51365577, -83.68990820",Livingston,,,42.513582,-83.690148
ARB015,126A,1930.0,https://dash.digitalwaterlab.org:3000/d/9fBjHUBGz/mallets-creek-chalmers-drain?orgId=1,Chalmers Drain,6/21/2021,HRWC,Depth,94.0,"42.265596, -83.689378",E Huron River Dr/Riverside Dr,Yes,clean,5.0,HRWC,"Ric Lawson, Andrea Paine, Rebecca Esselman",10.0,230.209,"42.26526266, -83.68856830",Washtenaw,,,42.265596,-83.689378
ARB016,,,,County Farm Park Valve,7/11/2017,Valve,,,"42.257666, -83.704069",Washtenaw Ave/Platt Rd,No,lots of spikes,,Washtenaw Co.,,10.0,,,Washtenaw,,,42.257666,-83.704069
ARB017,003A,1517.65,https://dash.digitalwaterlab.org:3000/d/kdqJvUfMk/woodruff-creek-autosampler?orgId=1,Woodruff Creek Autosampler,12/2/2020,HRWC,Depth,,"42.516711, -83.709214",Grand River Ave/Delphni Dr,Yes,,6.0,HRWC,"Ric Lawson, Andrea Paine, Rebecca Esselman",10.0,264.602,,Livingston,,,42.516711,-83.709214
ARB018,083A,2298.7,https://dash.digitalwaterlab.org:3000/d/QYyWV3K7z/mary-beth-doyle?orgId=1,Mary Beth Doyle,11/18/2016,Washtenaw Co.,Depth,0.0,"42.242009, -83.711235",Chelsea Cir/Birch Hollow Dr,Yes,clean,,Washtenaw Co.,,,245.848,"42.24200077, -83.71122275",Washtenaw,,,42.242009,-83.711235
ARB020,,,http://data.open-storm.org:3000/dashboard/db/arb020?orgId=6,Ecorse,5/21/2018,HRWC,,,"42.269485, -83.290433",S Beech Daly St/Amherst St,Retired,,7.0,HRWC,"Ric Lawson, Andrea Paine, Rebecca Esselman",,,,Wayne,,,42.269485,-83.290433
ARB021,,,,Ice Cube,8/26/2017,,,,"42.254160, -83.777093",Oak Valley Dr/Scio Church Rd,Retired,lots of spikes,,Ice Cube,Diane Wilson,,,,Washtenaw,,,42.25416,-83.777093
ARB022,,,,Churchill Downs South,9/15/2017,Washtenaw Co.,,,"42.2544246, -83.7741074",Wiltshire Dr/Steeplechase Dr,No,lots of spikes,,Washtenaw Co.,Harry Sheehan,,,,Washtenaw,,,42.2544246,-83.7741074
ARB023,,1604.9625,,Churchill Downs North ,9/15/2017,Washtenaw Co.,,,"42.255734, -83.774607",Wiltshire Dr/Steeplechase Dr,Retired,lots of spikes,,Washtenaw Co.,Harry Sheehan,,,,Washtenaw,,,42.255734,-83.774607
ARB025,075A,4905.5,https://dash.digitalwaterlab.org:3000/d/W-xAN8fMk/huron-r-at-maiden-lane?orgId=1,Huron R. @ Maiden Lane,5/29/2018,HRWC,Depth,103.2,"42.287704, -83.73317",Maiden Ln/Island Dr,Yes,obstructed,9.0,HRWC,"Ric Lawson, Andrea Paine, Rebecca Esselman",,235.024,"42.28762547, -83.73316899",Washtenaw,,,42.287704,-83.73317
ARB026,086A,4919.0,https://dash.digitalwaterlab.org:3000/d/MAyvWoink/south-commerce-lake?orgId=1,South Commerce Lake,8/18/2018,HRWC,Depth,94.0,"42.5692068, -83.5041176",Benstein Rd/W Oakley Park Rd,Yes,some spikes,10.0,HRWC,"Ric Lawson, Andrea Paine, Rebecca Esselman",,281.338,"42.5692068, -83.5041176",Washtenaw,,,42.5692068,-83.5041176
ARB027,032A,5791.2,https://dash.digitalwaterlab.org:3000/d/MN2RSLcnz/huron-r-at-huron-r-dr?orgId=1,Huron R. @ Huron R. Dr.,6/7/2018,HRWC,Depth,101.6,"42.324472, -83.801396",W Huron River Dr/Tubbs Rd,Yes,some spikes,3.0,HRWC,"Ric Lawson, Andrea Paine, Rebecca Esselman",,248.040,"42.32443716, -83.80137600",Washtenaw,,,42.324472,-83.801396
ARB028,019A,4102.0,https://dash.digitalwaterlab.org:3000/d/jzinwok7k/honey-huron-at-wagner?orgId=1,Honey / Huron @ Wagner,6/7/2018,HRWC,Depth,0.0,"42.317638, -83.796116",W Huron River Dr/Tubbs Rd,Yes,,8.0,HRWC,"Ric Lawson, Andrea Paine, Rebecca Esselman",10.0,246.562,"42.317638, -83.796116",Washtenaw,,,42.317638,-83.796116
ARB029,,2035.0,https://dash.digitalwaterlab.org:3000/d/qA-ID8fMk/horseshoe-lake?orgId=1,Horseshoe Lake,5/3/2018,Lake Level,,,"42.4039346, -83.7593324",Greenland Ave/Lakeview Dr,Retired,data gaps,,Washtenaw Co.,Catie Wytychak,,273.122136,"42.40393259, -83.75934236",Washtenaw,,,42.4039346,-83.7593324
ARB030,,,,Fire Station III,2/20/2018,Rain Gardens on Clay,,,"42.281196, -83.776736",Jackson Ave/Longman Ln,Retired,data gaps,1.0,Washtenaw Co.,Catie Wytychak,,,,Washtenaw,,,42.281196,-83.776736
ARB031,088A,4598.4,https://dash.digitalwaterlab.org:3000/d/g1awLTznz/huron-r-at-forest-ave?orgId=1, Huron R. @ Forest Ave.,6/13/2018,HRWC,Depth,101.6,"42.24576984, -83.61155885",E Forest Ave/Market Pl,Yes,clean,4.0,HRWC,"Ric Lawson, Andrea Paine, Rebecca Esselman",,179.963,"42.24576984, -83.61155885",Washtenaw,,,42.24576984,-83.61155885
ARB032,,1772.0,https://dash.digitalwaterlab.org:3000/d/xs2jETknk/cedar-island-lake?orgId=1,Cedar Island Lake,8/24/2018,HRWC,,101.6,"42.63456985, -83.48902747",Oxbow Lake Rd/Riverwood Ct,Removed for Construction,,11.0,HRWC,"Ric Lawson, Andrea Paine, Rebecca Esselman",10.0,289.124,"42.63456985, -83.48902747",Washtenaw,,,42.63456985,-83.48902747
ARB034,037A,2063.0,https://dash.digitalwaterlab.org:3000/d/UzaI_Tz7z/huron-at-shotwell?orgId=1,Huron @ Shotwell/Oxbow Lake,6/18/2021,HRWC,Depth,0.0,"42.64495705, -83.47098147",Shotwell St/Leona St,Yes,,12.0,HRWC,"Ric Lawson, Andrea Paine, Rebecca Esselman",,290.497,"42.64495705, -83.47098147",Oakland,,,42.64495705,-83.47098147
ARB035,,,http://data.open-storm.org:3000/dashboard/db/arb035?orgId=6&from=now-5y&to=now,Mary Beth Doyle Water Quality,11/20/2016,,,,"42.241139, -83.712177",Packard St/Woodmanor Ct,Retired,,,,,,,,Washtenaw,,,42.241139,-83.712177
ARB041,,,http://data.open-storm.org:3000/dashboard/db/arb041?orgId=6,Roger Moon's House,6/20/2018,Rain Gardens on Clay,,,"42.294255, -83.691121",Prestwick Ct/MacGregor Ln,Retired,,,Washtenaw Co.,Catie Wytychak,,,,Washtenaw,,,42.294255,-83.691121
ARB042,,1778.0,http://data.open-storm.org:3000/dashboard/db/arb042?orgId=6,Bryant Elementary School,6/20/2018,Rain Gardens on Clay,,101.6,"42.234032, -83.715185",Champagne Dr/Stratton Ct,Retired,,,Washtenaw Co.,Catie Wytychak,,278.466,"42.27921906, -83.81161025",Washtenaw,,,42.234032,-83.715185
ARB046,,1798.64,https://dash.digitalwaterlab.org:3000/d/909qloknk/kaiser-south?orgId=1,Kaiser South,8/22/2019,Detention Basin Monitoring,,,"42.279155, -83.811493",Parkland Plaza/Eagle Pointe Dr,Retired,lots of spikes,2.0,Washtenaw Co.,Catie Wytychak,,277.705,"42.27920264, -83.81159476",Washtenaw,,,42.279155,-83.811493
ARB047,022A,1780.0,https://dash.digitalwaterlab.org:3000/d/gx1dwoznz/kirkway?orgId=1,Kirkway,8/22/2019,Detention Basin Monitoring,Depth,,"42.286483, -83.859965",Sedgewood Ln/Wisteria Trace,Yes,,3.0,Washtenaw Co.,Catie Wytychak,10.0,265.3296192,"42.28629945, -83.86018019",Washtenaw,,,42.286483,-83.859965
ARB048,122A,2734.0,https://dash.digitalwaterlab.org:3000/d/RgZSCbz7zz/honey-creek-at-dexter?orgId=1,Honey Creek @ Dexter,8/27/2019,Detention Basin Monitoring,Depth,96.0,"42.2960774, -83.8205069",Dexter Ann Arbor Rd/W Delhi Rd,Yes,clean,4.0,Washtenaw Co.,Catie Wytychak,10.0,258.806,"42.29608196, -83.82051328",Washtenaw,,,42.2960774,-83.8205069
ARB049,039A,2254.25,https://dash.digitalwaterlab.org:3000/d/Vgdnt3K7k/kensington-woods?orgId=1&from=now-30d&to=now,Kensington Woods,8/10/2019,Detention Basin Monitoring,Depth,101.6,"42.2583296, -83.7830546",Kensington Blvd/Oxford Cir,Yes,obstructed,5.0,Washtenaw Co.,Catie Wytychak,,295.999,"42.25831642, -83.78303047",Washtenaw,,,42.2583296,-83.7830546
ARB050,087A,1574.8,https://dash.digitalwaterlab.org:3000/d/z4OUloznk/scio-township-hall?orgId=1&from=now-30d&to=now,Scio Township Hall,8/10/2019,Detention Basin Monitoring,Depth,95.3,"42.29763, -83.839607",N Zeeb Rd/Pratt Rd,Yes,obstructed,6.0,Washtenaw Co.,Catie Wytychak,,268.841,"42.29777075, -83.83972869",Washtenaw,,,42.29763,-83.839607
